,NSheets,WidthWater,LengthGraphene,Temperature,dT,Pressure,ContactAngle,SurfaceTension,RelativeDensity,RelativeTBR,std_rho,std_R,RelativeDessityError,RelativeTBCError
122,4,20,40,300,100,1,95,72.93553574,2.013890647678545,1.4157372990000001,0.423,0.423,0.06471474881252513,0.07642540381250026
5,8,30,60,280,100,1,95,75.74188565,2.014044990811123,1.0693928129999999,0.155,0.155,0.06627363803083239,0.054515507904635795
1,4,30,40,300,100,1,95,72.93553574,2.01501414875305,1.447335812,0.10400000000000001,0.10400000000000001,0.01192423264328087,0.020593043635033073
120,4,10,80,300,100,1,95,72.93553574,2.019846726804007,1.420074349,0.08611,0.08611,0.0277208693970806,0.01737248603222373
39,8,30,60,260,100,-90,95,78.33244767,2.0209368984482197,1.260459342,0.5081,0.5081,0.05653746454002398,0.07586590720099853
45,8,30,60,280,100,-90,95,75.74188565,2.0306760728549933,1.19447036,0.10400000000000001,0.10400000000000001,0.07340765409436527,0.025949807116638204
157,8,30,80,300,100,1,95,72.93553574,2.0326678102472915,1.008674102,0.08091,0.08091,0.011695768574448873,0.04036895695115903
93,8,30,60,300,100,-90,130,72.93553574,2.0387211882835343,1.6691449809999999,0.155,0.155,0.03401609329122257,0.019754805604279373
40,8,30,60,280,100,10,95,75.74188565,2.0398314291439616,1.061648079,0.1216,0.1216,0.021165109598674826,0.030069331223873515
146,12,30,30,300,100,1,95,72.93553574,2.041679834710026,1.021065675,0.057879999999999994,0.057879999999999994,0.01635549539480556,0.013526049957185239
41,8,30,60,280,100,180,95,75.74188565,2.0421759456538924,1.091081192,0.1253,0.1253,0.0468055459406642,0.02274610275137746
140,12,50,60,300,100,1,95,72.93553574,2.0423802036564958,0.9219330855,0.1313,0.1313,0.023610281672386324,0.03674264368244824
119,4,10,40,300,100,1,95,72.93553574,2.0582218994409875,1.464684015,0.08279,0.08279,0.014545827001243343,0.008842644566773097
46,8,30,60,340,100,10,95,66.70946579,2.0609991285955065,0.9795539033,0.5,0.5,0.06759869573546592,0.05856663741060836
32,8,30,60,340,100,1,95,66.70946579,2.0610992827132897,0.9872986369,0.08611,0.08611,0.03378050241623515,0.009941344447663359
54,8,30,60,360,100,-230,95,63.30859851,2.0652439664495206,1.086767031,0.1125,0.1125,0.03918306243910672,0.01729943795479563
82,8,30,60,300,100,10,120,72.93553574,2.0700089505757413,1.3695786859999999,0.5917,0.5917,0.06773761975762776,0.07185644187361927
84,8,30,60,300,100,-230,120,72.93553574,2.075552511441604,1.496282528,0.1216,0.1216,0.03871423492812184,0.019414823319742765
2,4,10,60,300,100,1,95,72.93553574,2.076086418569517,1.411400248,0.5,0.5,0.07263193822989958,0.06344920895551902
36,8,30,60,260,100,-230,95,78.33244767,2.085187054265495,1.3625946000000002,0.1169,0.1169,0.049276044656998634,0.018881063230810825
77,8,30,60,300,100,180,110,72.93553574,2.0853002061712025,1.1744113999999999,0.09756000000000001,0.09756000000000001,0.025143894612540265,0.026018925640889083
34,8,30,60,260,100,10,95,78.33244767,2.088342171560646,1.095415118,0.423,0.423,0.051242785053081476,0.07682565204663355
29,4,50,60,300,100,1,95,72.93553574,2.1042422892910255,1.478624535,0.1072,0.1072,0.02537554439612491,0.014268522845075057
0,4,30,30,300,100,1,95,72.93553574,2.1097647111370894,1.577757125,0.1936,0.1936,0.021627151390631674,0.027395618724165238
123,4,20,80,300,100,1,95,72.93553574,2.117937410701833,1.3711276330000002,0.07577,0.07577,0.04152588162354281,0.04018096693932089
158,12,30,80,300,100,1,95,72.93553574,2.122072116283001,0.8460346964,0.09688,0.09688,0.05528250449266597,0.018943645110515484
81,8,30,60,300,100,-90,110,72.93553574,2.123325013825877,1.279429988,0.1005,0.1005,0.07561726219599485,0.028195967287664846
66,8,30,60,300,100,-230,40,72.93553574,2.1234042327730562,0.7552664188,0.1219,0.1219,0.05408489006464413,0.013228907915922778
89,8,30,60,300,100,180,130,72.93553574,2.126007250423802,1.564126394,0.10400000000000001,0.10400000000000001,0.05372341416288768,0.024981811243550738
52,8,30,60,360,100,10,95,63.30859851,2.1282639626188016,0.9786245353,0.1313,0.1313,0.028263975888393536,0.015709658215148213
152,12,30,40,300,100,1,95,72.93553574,2.1286561530156405,0.8906443618000001,0.1524,0.1524,0.020041112083434915,0.03802801369086602
53,8,30,60,360,100,180,95,63.30859851,2.1413840504289827,0.9332373068,0.1281,0.1281,0.039095067633486746,0.03750651640707305
145,8,30,30,300,100,1,95,72.93553574,2.141420470829137,1.183705081,0.07121,0.07121,0.016590048417248156,0.01516783282355098
35,8,30,60,260,100,180,95,78.33244767,2.1471235152193584,1.186494964,0.07577,0.07577,0.06824303647472009,0.021273201818806264
133,8,20,60,300,100,1,95,72.93553574,2.1533821592446913,0.9684014870000001,0.10400000000000001,0.10400000000000001,0.019586120378851157,0.02781594298363764
57,8,30,60,360,100,-90,95,63.30859851,2.1632530737965805,1.032222221,0.07121,0.07121,0.03196023927821739,0.01869799329528831
51,8,30,60,340,100,-90,95,66.70946579,2.1699993288073336,1.034038432,0.07967,0.07967,0.014869842060931502,0.014198050642547453
9,8,30,60,300,100,1,95,72.93553574,2.1709538651744533,1.0,0.1281,0.1281,0.035670335409360744,0.013933306844594909
75,8,30,60,300,100,-90,70,72.93553574,2.1873456378153717,0.8373605948,0.08279,0.08279,0.014948844278310777,0.03158199681566713
134,12,20,60,300,100,1,95,72.93553574,2.197715478945901,0.8057620818000001,0.5,0.5,0.05602274206789993,0.06801652973908374
3,4,20,60,300,100,1,95,72.93553574,2.202680387928131,1.362453532,0.09003,0.09003,0.01459984172964853,0.018316248794609198
149,28,30,30,300,100,1,95,72.93553574,2.227080430566676,0.7884138786,0.4861,0.4861,0.06091154941624769,0.07933487372554447
25,8,30,60,300,100,-380,70,72.93553574,2.2341070892861112,0.8677199504,0.08091,0.08091,0.014039991603803093,0.037856043875911995
10,12,30,60,300,100,1,95,72.93553574,2.243963921404479,0.8373605948,0.1125,0.1125,0.014820259374223765,0.049167783520611665
6,8,30,60,300,100,10,95,72.93553574,2.252507957577303,0.9922552664000001,0.08732000000000001,0.08732000000000001,0.02885186858867092,0.03230759142319302
4,8,30,60,260,100,1,95,78.33244767,2.2550802191134967,1.103159851,0.06627999999999999,0.06627999999999999,0.017954913589627582,0.010226496716247018
80,8,30,60,300,100,900,110,72.93553574,2.261777770329498,1.08488228,0.1169,0.1169,0.01534463812974311,0.03310505243021085
28,8,30,60,300,100,-90,95,72.93553574,2.2619501292922615,1.058859975,0.1051,0.1051,0.044394517237357586,0.031599034538622735
151,8,30,40,300,100,1,95,72.93553574,2.263026138948443,1.053283767,0.0788,0.0788,0.04384753639704521,0.01594353893946359
92,8,30,60,300,100,900,130,72.93553574,2.2633385300269175,1.474597274,0.06627999999999999,0.06627999999999999,0.012182692524518314,0.031076901407648547
72,8,30,60,300,100,-230,70,72.93553574,2.2675683816088967,0.8974597273999999,0.1051,0.1051,0.021768548502703426,0.014675499561537207
128,12,10,60,300,100,1,95,72.93553574,2.279841080131119,0.854708798,0.1216,0.1216,0.03132191222362667,0.031692780729674255
153,18,30,40,300,100,1,95,72.93553574,2.2918947925206887,0.6833952912000001,0.1405,0.1405,0.026754830621923388,0.02117732794348804
127,8,10,60,300,100,1,95,72.93553574,2.2920604955631405,1.017348203,0.5081,0.5081,0.053130202050456786,0.06494146336383896
47,8,30,60,340,100,180,95,66.70946579,2.298490549024872,0.9677112484,0.09003,0.09003,0.019318610267132268,0.00921300041441641
38,8,30,60,260,100,900,95,78.33244767,2.2985258094332846,1.169071486,0.5917,0.5917,0.06047790570502741,0.0948874098781167
22,8,30,60,300,100,180,95,72.93553574,2.3137992578973554,0.9538413879000001,0.1219,0.1219,0.030790025318443878,0.014728241854072397
150,38,30,30,300,100,1,95,72.93553574,2.325011854520783,0.7177819083,0.09851,0.09851,0.030791961022166567,0.017890787268894034
44,8,30,60,280,100,900,95,75.74188565,2.327495341642351,1.069315465,0.1936,0.1936,0.03277385694357995,0.05702301394112509
155,28,30,40,300,100,1,95,72.93553574,2.3348637342274103,0.6579925650999999,0.1555,0.1555,0.052285231144164966,0.04250518122284893
60,8,30,60,300,100,-230,0,72.93553574,2.3378532737001643,0.6328996283,0.1827,0.1827,0.030374749253724,0.04367969996971467
147,18,30,30,300,100,1,95,72.93553574,2.349319280928627,0.8138166047,0.07037,0.07037,0.02484435569711201,0.026424934163160226
63,8,30,60,300,100,-90,0,72.93553574,2.369954646790149,0.5728004957,0.0788,0.0788,0.04072735537223125,0.0313424681022832
141,18,50,60,300,100,1,95,72.93553574,2.373724356113809,0.7146840149,0.1281,0.1281,0.017891472991760044,0.051682423712985856
69,8,30,60,300,100,-90,40,72.93553574,2.376034925621653,0.6951672862,0.08091,0.08091,0.030307693532888244,0.016363379615194948
70,8,30,60,300,100,10,70,72.93553574,2.3779228095959786,0.7707558859999999,0.09688,0.09688,0.038299018054238035,0.02463709622881516
159,18,30,80,300,100,1,95,72.93553574,2.3780668749730007,0.6387856258,0.07685,0.07685,0.01567155518010866,0.046143840529607696
71,8,30,60,300,100,180,70,72.93553574,2.406515060968167,0.7323420074,0.07685,0.07685,0.008663436400800757,0.037295295828688485
86,8,30,60,300,100,900,120,72.93553574,2.414430161404369,1.241635688,0.1284,0.1284,0.054033519607402665,0.050191179208531396
143,28,50,60,300,100,1,95,72.93553574,2.4171668743202894,0.6892812887,0.11,0.11,0.020454781761268755,0.029120893165507707
50,8,30,60,340,100,900,95,66.70946579,2.430206459492569,0.8267893609,0.08732000000000001,0.08732000000000001,0.034116819427551,0.02595651370109405
129,18,10,60,300,100,1,95,72.93553574,2.4436348662616996,0.6474597274,0.1253,0.1253,0.03831547822495959,0.05073129906198067
27,8,30,60,300,100,900,95,72.93553574,2.467153453497675,0.8643122676999999,0.07685,0.07685,0.01820137935992322,0.013045067419027608
64,8,30,60,300,100,10,40,72.93553574,2.4753184358028375,0.6285625774,0.1524,0.1524,0.05460850233712296,0.0312891279159279
132,38,10,60,300,100,1,95,72.93553574,2.481035116540836,0.5514250310000001,0.1936,0.1936,0.020520865277981536,0.03830503935547496
99,8,30,60,260,100,1,70,78.33244767,2.4817253757100235,1.087980173,0.11,0.11,0.05947317064109884,0.014100201861816685
131,28,10,60,300,100,1,95,72.93553574,2.4870948572162637,0.6220570012,0.1125,0.1125,0.04489253124706992,0.023531587406921607
137,28,20,60,300,100,1,95,72.93553574,2.4886004089979803,0.573110285,0.155,0.155,0.02776701613810483,0.033944133431330535
18,28,30,60,300,100,1,95,72.93553574,2.490176093148581,0.604708798,0.09851,0.09851,0.01058950867627335,0.01737951062311259
19,38,30,60,300,100,1,95,72.93553574,2.494131383462845,0.5340768278,0.0788,0.0788,0.031134848575074786,0.02986801581168389
56,8,30,60,360,100,900,95,63.30859851,2.5188039540144853,0.8240437824,0.1185,0.1185,0.0500626779047633,0.01781476348412112
65,8,30,60,300,100,180,40,72.93553574,2.5235782987412567,0.5901486989,0.1405,0.1405,0.07306305247764204,0.04057771793374061
135,18,20,60,300,100,1,95,72.93553574,2.5311235305451847,0.5985130112,0.09003,0.09003,0.06474245593340255,0.02289435719462731
31,18,30,60,300,100,100,95,72.93553574,2.554034626764196,0.5988228004999999,0.08279,0.08279,0.04536392091358461,0.011271690806553415
11,18,30,60,300,100,1,95,72.93553574,2.558884615626668,0.6301115242,0.11,0.11,0.059829522594467194,0.01970307103443275
156,38,30,40,300,100,1,95,72.93553574,2.5875355869895857,0.5873605947999999,0.111,0.111,0.02124035089723427,0.04808527456958683
58,8,30,60,300,100,10,0,72.93553574,2.5949400345687135,0.5061957869,0.057879999999999994,0.057879999999999994,0.04176604097005558,0.01923389514024871
17,8,30,60,300,100,1,70,72.93553574,2.6105357562610774,0.7785006195999999,0.4861,0.4861,0.07451035952632065,0.05675923672482221
161,28,30,80,300,100,1,95,72.93553574,2.623609702843529,0.6133828996,0.1072,0.1072,0.016147609062344515,0.02611832148890633
162,38,30,80,300,100,1,95,72.93553574,2.6416932146233183,0.5427509294,0.07508,0.07508,0.025625618833797718,0.018292983825836346
117,8,30,60,360,100,1,70,63.30859851,2.6503312676218247,0.7376084262999999,0.1072,0.1072,0.04762174407000885,0.024206653213147522
